bl_part_id,item_type,element_id,rb_part_num,rb_color_id,bl_color_id,bo_color_id,ldraw_color_id,weight,boid,source
10001stk01,P,4164464,42689,9999,0,,,1.0,no_bo_id,NO_BO_ID
10002stk01,P,821420,821420,9999,0,,,1.5,no_bo_id,NO_BO_ID
10019stk01,P,4170393,43274,9999,0,,,4.0,no_bo_id,NO_BO_ID
10020stk01,P,4174735,43822,9999,0,,,1.48,no_bo_id,NO_BO_ID
10021stk01,P,4187376,45246,9999,0,,,0.5,no_bo_id,NO_BO_ID
10022stk01,P,4188571,45443,9999,0,,,2.0,no_bo_id,NO_BO_ID
10024stk01,P,4179107,44236,9999,0,,,4.18,no_bo_id,NO_BO_ID
10025stk01,P,4188571,45443,9999,0,,,2.0,no_bo_id,NO_BO_ID
10026stk01,P,4184185,44942,9999,0,,,2.0,no_bo_id,NO_BO_ID
10029stk01,P,4216816,4216816,9999,0,,,0.5,no_bo_id,NO_BO_ID
10030stk01,P,4191792,45763,9999,0,,,1.1,no_bo_id,NO_BO_ID
10036stk01,P,821407,821407,9999,0,,,1.0,no_bo_id,NO_BO_ID
10037stk01,P,163145,163145,9999,0,,,1.2,no_bo_id,NO_BO_ID
10039c01,P,6009407,10039,0,11,38,,6.5,143156-38,RB
10039c01,P,6108532,10039,0,11,38,,6.5,143156-38,RB
10041stk01,P,4190519,45667,9999,0,,,1.8,no_bo_id,NO_BO_ID
100452pb01,P,6442905,100452pat0001,15,1,92,,1.59,1213987-92,RB
100453pb01,P,6434258,100453pr0001,323,152,62,,3.23,237322-62,RB
100453pb02,P,6487064,100453pr0002,323,152,62,,3.23,342511-62,RB
100456pb01,P,6405238,100456pr0001,191,110,43,,2.0,678256-43,RB
10048,P,6002750,10048,84,150,74,,0.7,265093-74,RB
10048,P,6002753,10048,70,88,82,,0.7,265093-82,RB
10048,P,6002754,10048,308,120,51,,0.7,265093-51,RB
10048,P,6008296,10048,484,68,54,,0.7,265093-54,RB
10048,P,6158338,10048,308,120,51,,0.7,265093-51,RB
10048,P,6308485,10048,84,150,74,,0.7,265093-74,RB
10048,P,6417951,10048,308,120,51,,0.7,265093-51,RB
10048,P,6417952,10048,70,88,82,,0.7,265093-82,RB
10048,P,6417953,10048,484,68,54,,0.7,265093-54,RB
10048,P,6436362,10048,84,150,74,,0.7,265093-74,RB
10048,P,6446084,10048,0,11,38,,0.7,265093-38,RB
10049,P,6002757,10049,1103,77,119,,0.68,896787-119,RB
10049pb01,P,6005318,10049pr0001,1103,77,119,,0.68,422757-119,RB
10050,P,6002758,10050,1103,77,119,,0.25,903307-119,RB
10050,P,6167899,10050,1063,249,227,,0.25,903307-227,RB
10050,P,6264145,10050,1103,77,119,,0.25,903307-119,RB
10050,P,6398659,10050,297,115,120,,0.25,903307-120,RB
10051,P,6002759,10051,1103,77,119,,0.94,233232-119,RB
10051pb01,P,6004501,10051pr0001,1103,77,119,,0.95,108519-119,RB
10052,P,6002762,10052,71,86,64,,0.31,333703-64,RB
10052,P,6037877,10052,0,11,38,,0.31,333703-38,RB
10052,P,6269049,10052,71,86,64,,0.31,333703-64,RB
10052,P,6315564,10052,15,1,92,,0.31,333703-92,RB
