severity,issue_type,rb_color_id,name,details,suggestions
WARN,API_SELFTEST_BRICKLINK_FAILED,,,BrickLink OAuth: FALHA ao chamar /items/part/3001/colors: Expecting value: line 1 column 1 (char 0),"Verificar credenciais OAuth, clock do runner e se o endpoint/type estão corretos."
INFO,API_SELFTEST_REBRICKABLE_OK,,,Rebrickable OK (/lego/colors?page_size=1).,
INFO,API_SELFTEST_BRICKOWL_OK,,,BrickOwl OK (/user/details + /catalog/color_list).,"Se catalog falhar, confirmar permissões da key BrickOwl."
INFO,BL_CODE_ELEMENT_COLOR_CONFLICT_RESOLVED_BY_NAME_RGB,,,"Element 4107576 tinha múltiplos BL color_id [7, 11, 86]; resolvido para 86 por heurística name/RGB (rb_color_id=7).","Se quiseres fixar definitivamente, adiciona override no seed (ou regra interna por Element)."
INFO,BL_CODE_ELEMENT_COLOR_CONFLICT_RESOLVED_BY_RB_ELEMENT,,,"Element 4529209 tinha múltiplos BL color_id [2, 3]; resolvido para 2 via Rebrickable element (rb_color_id=19).","Se quiseres fixar definitivamente, adiciona override no seed (ou regra interna por Element)."
INFO,BL_CODE_ELEMENT_COLOR_CONFLICT_RESOLVED_BY_RB_ELEMENT,,,"Element 4297097 tinha múltiplos BL color_id [85, 120]; resolvido para 85 via Rebrickable element (rb_color_id=72).","Se quiseres fixar definitivamente, adiciona override no seed (ou regra interna por Element)."
INFO,BL_CODE_ELEMENT_COLOR_CONFLICT_RESOLVED_BY_NAME_RGB,,,"Element 4296080 tinha múltiplos BL color_id [108, 16]; resolvido para 108 por heurística name/RGB (rb_color_id=2).","Se quiseres fixar definitivamente, adiciona override no seed (ou regra interna por Element)."
INFO,BL_CODE_ELEMENT_COLOR_CONFLICT_RESOLVED_BY_RB_ELEMENT,,,"Element 4297031 tinha múltiplos BL color_id [14, 74]; resolvido para 14 via Rebrickable element (rb_color_id=33).","Se quiseres fixar definitivamente, adiciona override no seed (ou regra interna por Element)."
INFO,BL_CODE_ELEMENT_COLOR_CONFLICT_RESOLVED_BY_RB_ELEMENT,,,"Element 4500092 tinha múltiplos BL color_id [98, 19]; resolvido para 98 via Rebrickable element (rb_color_id=182).","Se quiseres fixar definitivamente, adiciona override no seed (ou regra interna por Element)."
INFO,BL_CODE_ELEMENT_COLOR_CONFLICT_RESOLVED_BY_RB_ELEMENT,,,"Element 4511873 tinha múltiplos BL color_id [98, 19]; resolvido para 98 via Rebrickable element (rb_color_id=182).","Se quiseres fixar definitivamente, adiciona override no seed (ou regra interna por Element)."
