bl_part_id,element_id,rb_part_num,rb_color_id,bl_color_id,bo_color_id,ldraw_color_id,boid,source
10001stk01,4164464,42689,9999,0,,,no_bo_id,NO_BO_ID
10002stk01,821420,821420,9999,0,,,no_bo_id,NO_BO_ID
10019stk01,4170393,43274,9999,0,,,no_bo_id,NO_BO_ID
10020stk01,4174735,43822,9999,0,,,no_bo_id,NO_BO_ID
10021stk01,4187376,45246,9999,0,,,no_bo_id,NO_BO_ID
10022stk01,4188571,45443,9999,0,,,no_bo_id,NO_BO_ID
10024stk01,4179107,44236,9999,0,,,no_bo_id,NO_BO_ID
10025stk01,4188571,45443,9999,0,,,no_bo_id,NO_BO_ID
10026stk01,4184185,44942,9999,0,,,no_bo_id,NO_BO_ID
10029stk01,4216816,4216816,9999,0,,,no_bo_id,NO_BO_ID
10030stk01,4191792,45763,9999,0,,,no_bo_id,NO_BO_ID
10036stk01,821407,821407,9999,0,,,no_bo_id,NO_BO_ID
10037stk01,163145,163145,9999,0,,,no_bo_id,NO_BO_ID
10039c01,6009407,10039,0,11,38,,143156-38,RB
10039c01,6108532,10039,0,11,38,,143156-38,RB
10041stk01,4190519,45667,9999,0,,,no_bo_id,NO_BO_ID
100452pb01,6442905,100452pat0001,15,1,92,,1213987-92,RB
100453pb01,6434258,100453pr0001,323,152,62,,237322-62,RB
100453pb02,6487064,100453pr0002,323,152,62,,342511-62,RB
100456pb01,6405238,100456pr0001,191,110,43,,678256-43,RB
10048,6002750,10048,84,150,74,,265093-74,RB
10048,6002753,10048,70,88,82,,265093-82,RB
10048,6002754,10048,308,120,51,,265093-51,RB
10048,6008296,10048,484,68,54,,265093-54,RB
10048,6158338,10048,308,120,51,,265093-51,RB
10048,6308485,10048,84,150,74,,265093-74,RB
10048,6417951,10048,308,120,51,,265093-51,RB
10048,6417952,10048,70,88,82,,265093-82,RB
10048,6417953,10048,484,68,54,,265093-54,RB
10048,6436362,10048,84,150,74,,265093-74,RB
10048,6446084,10048,0,11,38,,265093-38,RB
10049,6002757,10049,1103,77,119,,896787-119,RB
10049pb01,6005318,10049pr0001,1103,77,119,,422757-119,RB
10050,6002758,10050,1103,77,119,,903307-119,RB
10050,6167899,10050,1063,249,227,,903307-227,RB
10050,6264145,10050,1103,77,119,,903307-119,RB
10050,6398659,10050,297,115,120,,903307-120,RB
10051,6002759,10051,1103,77,119,,233232-119,RB
10051pb01,6004501,10051pr0001,1103,77,119,,108519-119,RB
10052,6002762,10052,71,86,64,,333703-64,RB
10052,6037877,10052,0,11,38,,333703-38,RB
10052,6269049,10052,71,86,64,,333703-64,RB
10052,6315564,10052,15,1,92,,333703-92,RB
10052,6350621,10052,297,115,120,,333703-120,RB
10053,6002763,10053,179,95,117,,96903-117,RB
10054,6002765,10054,179,95,117,,817785-117,RB
10054,6002768,10054,179,95,117,,817785-117,RB
10054,6002790,10054,308,120,51,,817785-51,RB
10054pb01,6016984,10054pr0001,179,95,117,,212885-117,RB
10054pb02,6016974,10054pr0002,308,120,51,,690745-51,RB
100559pb01,6416764,100559pat0001pr0002,484,68,54,,515957-54,RB
100559pb01,6510642,100559pat0001pr0002,484,68,54,,515957-54,RB
100559pb02,6416763,100559pat0002,484,68,54,,1165507-54,RB
100559pb03,6441119,100559pat0003,484,68,54,,581177-54,RB
100559pb03,6510644,100559pat0003,484,68,54,,581177-54,RB
100559pb04,6483119,100559pat0001pr0001,484,68,54,,786327-54,RB
10055pb01,6013742,10055pr0001,308,120,51,,253634-51,RB
10055pb01,6016973,10055pr0001,226,103,44,,253634-44,RB
10055pb01,6028771,10055pr0001,308,120,51,,253634-51,RB
