bl_part_id,weight,source
1,5.8,ITEMID
104,0.5,ITEMID
71185,0.5,ALTITEMID
30322,0.66,ITEMID
10p01,58.46,ITEMID
10p02,60.8,ITEMID
10p03,61.0,ITEMID
10p04,59.0,ITEMID
10p05,59.0,ITEMID
122c01,1.86,ITEMID
122c02,1.86,ITEMID
132old,2.0,ITEMID
14,0.95,ITEMID
15,1.0,ITEMID
17,0.87,ITEMID
194,0.12,ITEMID
4210,0.12,ALTITEMID
2,10.14,ITEMID
202,5.47,ITEMID
21,2.14,ITEMID
2335,0.62,ITEMID
11055,0.62,ALTITEMID
60779,0.62,ALTITEMID
2335p01,0.5,ITEMID
2335p02,0.5,ITEMID
2335p03,0.5,ITEMID
2335p04,0.5,ITEMID
2335p43,0.5,ITEMID
2335p44,0.5,ITEMID
2336,3.66,ITEMID
2336p68,3.66,ITEMID
2336p90,3.66,ITEMID
2337,4.22,ITEMID
2339u,2.1,ITEMID
76768u,2.1,ALTITEMID
2340,1.64,ITEMID
2341,0.96,ITEMID
18759,0.96,ALTITEMID
2342,1.0,ITEMID
2343,0.26,ITEMID
6269,0.26,ALTITEMID
28657,0.26,ALTITEMID
30002,0.26,ALTITEMID
2345,4.95,ITEMID
2345p01,4.95,ITEMID
2345p44,4.95,ITEMID
2346,3.88,ITEMID
2348a,0.4,ITEMID
2348b,0.41,ITEMID
2349,1.42,ITEMID
2350a,5.82,ITEMID
2351,4.12,ITEMID
2352,3.0,ITEMID
2356,6.3,ITEMID
44042,6.3,ALTITEMID
2357,1.25,ITEMID
2358p02,98.9,ITEMID
2359p01,98.5,ITEMID
2360p01,94.0,ITEMID
2361p01,103.0,ITEMID
2362,1.3,ITEMID
30009,1.3,ALTITEMID
2375,1.07,ITEMID
2376,0.49,ITEMID
2377,0.62,ITEMID
2397,2.17,ITEMID
49134,2.17,ALTITEMID
2399,3.04,ITEMID
2400,4.55,ITEMID
2401,8.7,ITEMID
2408,16.0,ITEMID
30097,16.0,ALTITEMID
2408p01,16.0,ITEMID
2409,35.42,ITEMID
2412u,0.24,ITEMID
2413,4.86,ITEMID
2415,0.67,ITEMID
66199,0.67,ALTITEMID
2417,1.071,ITEMID
2418a,5.34,ITEMID
2418b,5.6,ITEMID
2419,1.95,ITEMID
43127,1.95,ALTITEMID
2420,0.54,ITEMID
63325,0.54,ALTITEMID
2421,0.41,ITEMID
28969,0.41,ALTITEMID
2422,1.24,ITEMID
2423,0.44,ITEMID
2428,5.94,ITEMID
2429,0.35,ITEMID
19952,0.35,ALTITEMID
80134,0.35,ALTITEMID
2430,0.42,ITEMID
19953,0.42,ALTITEMID
80133,0.42,ALTITEMID
2431,0.54,ITEMID
35371,0.54,ALTITEMID
75703,0.54,ALTITEMID
91143,0.54,ALTITEMID
100687,0.54,ALTITEMID
112418,0.54,ALTITEMID
2431p02,0.53,ITEMID
2431p12,0.53,ITEMID
2431p51,0.53,ITEMID
2431p79,0.53,ITEMID
2432,0.58,ITEMID
2433,0.28,ITEMID
2434,4.96,ITEMID
2436,0.93,ITEMID
2437,2.26,ITEMID
35243,2.26,ALTITEMID
2440,2.15,ITEMID
2440p69,2.2,ITEMID
2441,4.21,ITEMID
68556,4.21,ALTITEMID
2443,3.0,ITEMID
2444,0.81,ITEMID
2445,3.5,ITEMID
2446,0.52,ITEMID
30006,0.52,ALTITEMID
30124,0.52,ALTITEMID
88415,0.52,ALTITEMID
2447,0.16,ITEMID
25361,0.16,ALTITEMID
35334,0.16,ALTITEMID
59456,0.16,ALTITEMID
70651,0.16,ALTITEMID
88407,0.16,ALTITEMID
2448,2.5,ITEMID
2449,1.88,ITEMID
2450,1.08,ITEMID
2452,0.61,ITEMID
2453,2.13,ITEMID
2454,3.49,ITEMID
35274,3.49,ALTITEMID
46212,3.49,ALTITEMID
2456,3.74,ITEMID
44237,3.74,ALTITEMID
2458,1.09,ITEMID
2460,0.98,ITEMID
49153,0.98,ALTITEMID
2462,1.46,ITEMID
2463,2.12,ITEMID
2464,2.25,ITEMID
2465,6.2,ITEMID
2466,2.84,ITEMID
30226,2.84,ALTITEMID
2466p07,2.75,ITEMID
2466p68,2.6,ITEMID
2467,5.07,ITEMID
2468,3.52,ITEMID
2470,1.08,ITEMID
2498,0.8,ITEMID
2473,0.8,ALTITEMID
99417,0.8,ALTITEMID
2476,0.82,ITEMID
48241,0.82,ALTITEMID
2479,1.6,ITEMID
